pronounCount,prepositionCount,conjunctionCount,complexWordsCount,longWordsCount,syllablesCount,typeTokenRatio,wordCount,cleaned,entity,author
6.0,6.0,1.0,6.0,10.0,54.0,0.8536585365853658,41.0,process however afford means ascertain dimension dungeon may make circuit return point whence set without aware fact perfectly uniform seem wall ,[],EAP
3.0,1.0,0.0,1.0,3.0,15.0,1.0,14.0,never occur fumbling may mere mistake ,[],HPL
3.0,6.0,0.0,4.0,7.0,45.0,0.8888888888888888,36.0,left hand gold snuff box caper hill cut manner fantastic step take snuff incessantly air great possible self satisfaction ,[],EAP
1.0,5.0,2.0,1.0,10.0,47.0,0.9411764705882353,34.0,lovely spring look windsor terrace sixteen fertile county spread beneath speckle happy cottage wealthy town look former year heart cheering fair ,[year],MWS
4.0,3.0,1.0,4.0,9.0,46.0,0.9259259259259259,27.0,find nothing else even gold superintendent abandon attempt perplex look occasionally steal countenance sit think desk ,[],HPL
14.0,13.0,4.0,17.0,21.0,127.0,0.7951807228915663,83.0,youth pass solitude good year spend gentle feminine fosterage refine groundwork character overcome intense distaste usual brutality exercise board ship never believe necessary hear mariner equally note kindliness heart respect obedience pay crew feel peculiarly fortunate able secure service ,[],MWS
1.0,3.0,1.0,5.0,6.0,35.0,1.0,21.0,astronomer perhaps point take refuge suggestion non luminosity analogy suddenly let fall ,[],EAP
1.0,2.0,0.0,0.0,2.0,10.0,1.0,8.0,surcingle hang riband body ,"[surcingle, hang]",EAP
16.0,14.0,4.0,11.0,18.0,120.0,0.7045454545454546,88.0,know could say stereotomy without bring think atomie thus theory epicurus since discuss subject long ago mention singularly yet little notice vague guess noble greek meet confirmation late nebular cosmogony feel could avoid cast eye upward great nebula orion certainly expect would ,[greek],EAP
3.0,3.0,2.0,6.0,9.0,35.0,0.782608695652174,23.0,confess neither structure language code government politic various state possess attraction ,[],MWS
7.0,2.0,0.0,2.0,3.0,24.0,0.8636363636363636,22.0,shall find feel injury shall learn dread revenge day arrive ,[],MWS
2.0,0.0,1.0,2.0,3.0,15.0,1.0,10.0,barricade present secure ,[],EAP
